input;target
Friday, 1963.03.15;15-03-1963
1817/04/16;16-04-1817
Saturday 1802-05-29;29-05-1802
Thursday 09 07 1998;09-07-1998
Mon. 1997.08.18;18-08-1997
Friday 1890/08/29;29-08-1890
Wed. 1935 October 30;30-10-1935
Thursday, 07/04/1904;07-04-1904
Tuesday 2043 Jul 28;28-07-2043
Wednesday 1906/11/14;14-11-1906
Sun 1914.05.03;03-05-1914
Tue. 01 July 1884;01-07-1884
Wed 13 03 2013;13-03-2013
Mon. 28/12/1953;28-12-1953
Wednesday, 1827 01 03;03-01-1827
Thursday 27 Jun 1985;27-06-1985
Monday, 2030 05 20;20-05-2030
Thursday, 12 Mar. 1987;12-03-1987
1977.02.22;22-02-1977
04-10-1866;04-10-1866
Sunday 2018/01/07;07-01-2018
Tue 1959 May. 05;05-05-1959
Thursday, 1933 Oct 05;05-10-1933
Sunday 1836-11-13;13-11-1836
Sat. 1882.07.22;22-07-1882
Saturday, 25-05-1940;25-05-1940
29 May 1879;29-05-1879
Thu 1927/08/11;11-08-1927
Thu 04 06 1896;04-06-1896
Wednesday 1870/07/27;27-07-1870
Mon 1903/12/28;28-12-1903
Tuesday 10 May 1949;10-05-1949
29 Aug 1952;29-08-1952
26-06-1844;26-06-1844
Saturday 1918 Mar. 16;16-03-1918
1926 07 07;07-07-1926
Saturday 23.01.2027;23-01-2027
Mon. 21.06.1965;21-06-1965
Sat. 1874 Jan. 10;10-01-1874
Friday, 1978.06.09;09-06-1978
Fri. 14.10.1887;14-10-1887
Sun. 1802 Dec. 26;26-12-1802
Monday 02-05-2005;02-05-2005
Sat 1882.03.11;11-03-1882
Sun. 1802 Jan 17;17-01-1802
Sun. 1939 July 02;02-07-1939
Thursday 1803.08.11;11-08-1803
Monday, 08 June 1942;08-06-1942
Saturday 1980 Nov 29;29-11-1980
Wed 12 May. 1954;12-05-1954
Tue. 1990.01.23;23-01-1990
Tue 1901 July 02;02-07-1901
Sun. 1886/01/10;10-01-1886
Thursday, 2047 October 31;31-10-2047
Thursday 1930-01-09;09-01-1930
Sunday, 23/08/2026;23-08-2026
Thursday, 24/07/1958;24-07-1958
Tuesday, 2006.01.10;10-01-2006
2027 June 03;03-06-2027
Fri. 01 May. 1953;01-05-1953
Sat 1982/10/30;30-10-1982
Wednesday 06 Jun. 1888;06-06-1888
Monday, 21.08.1939;21-08-1939
Wed 1949-04-13;13-04-1949
Sun. 06 Aug 1893;06-08-1893
Monday 22 Sep. 1924;22-09-1924
Sunday, 1886 05 30;30-05-1886
08 Dec. 2013;08-12-2013
Mon. 01 February 1802;01-02-1802
Sat. 04/01/1840;04-01-1840
Fri. 21.07.1972;21-07-1972
Sat 1847-08-28;28-08-1847
Saturday 27.11.1813;27-11-1813
Friday, 21.02.1969;21-02-1969
Thu 22.08.1968;22-08-1968
Tuesday 17 Feb. 1885;17-02-1885
Thursday, 19.11.1891;19-11-1891
1820 May. 17;17-05-1820
Thursday, 21 Feb. 2030;21-02-2030
Sunday 30 Jun 1907;30-06-1907
Wednesday 1896 Sep 23;23-09-1896
Monday 1849/03/26;26-03-1849
Saturday 2030-04-06;06-04-2030
Fri 1854 Oct 20;20-10-1854
Thursday, 20 Nov. 2042;20-11-2042
Sun. 27-08-2000;27-08-2000
1817 Jul 20;20-07-1817
Fri. 21/03/1997;21-03-1997
Saturday, 25 Jun 2016;25-06-2016
Monday 1833-08-05;05-08-1833
Fri 1840 01 10;10-01-1840
Mon. 06.03.1899;06-03-1899
09 09 1970;09-09-1970
Mon. 13.07.1863;13-07-1863
Friday, 01 Jun 1877;01-06-1877
Fri. 1996.07.05;05-07-1996
Monday 20 Feb. 1832;20-02-1832
Thu. 21-03-1968;21-03-1968
Wednesday 1992/07/29;29-07-1992
Friday, 12 Jun. 1891;12-06-1891
Sun 1907/05/26;26-05-1907
Thu. 09 Mar 1989;09-03-1989
Sunday, 1865 03 26;26-03-1865
Tue. 01 Mar 1898;01-03-1898
Mon. 15 January 1883;15-01-1883
27-05-1857;27-05-1857
Thu. 2004-03-04;04-03-2004
Wed. 25 Oct 1820;25-10-1820
1993 09 09;09-09-1993
Mon 02/06/1817;02-06-1817
Mon. 1982.03.01;01-03-1982
Tue. 30 Dec 1919;30-12-1919
Sunday 1881 Jun. 05;05-06-1881
Wed 20 Aug 1980;20-08-1980
2041 Apr. 13;13-04-2041
Thu. 2014.01.09;09-01-2014
Sunday 13-12-1885;13-12-1885
Tue 02 06 1874;02-06-1874
Tue. 05 May. 1942;05-05-1942
Sunday, 1912 Mar. 31;31-03-1912
Tuesday 24 09 1968;24-09-1968
Sun. 1929-04-28;28-04-1929
1893 Oct. 26;26-10-1893
Mon 15.01.1962;15-01-1962
Sunday 08 08 1937;08-08-1937
Mon 1817.04.14;14-04-1817
Thursday 1808 August 25;25-08-1808
Tue. 1960 09 06;06-09-1960
Wednesday, 1939 March 22;22-03-1939
Friday 28 Nov. 1828;28-11-1828
Friday 1820/07/28;28-07-1820
Wednesday 15-08-1945;15-08-1945
Wednesday, 2049 02 10;10-02-2049
Sun. 1997.10.05;05-10-1997
Thu. 1822/03/14;14-03-1822
10/09/1836;10-09-1836
1935.03.12;12-03-1935
Fri 1872.05.31;31-05-1872
Wed. 13 May. 1903;13-05-1903
Sunday, 04/12/1994;04-12-1994
Sat 31 07 1971;31-07-1971
Fri. 08.08.1941;08-08-1941
1939 Jul. 11;11-07-1939
Sun. 1805 May. 26;26-05-1805
Wednesday 22.11.1815;22-11-1815
Sunday, 08-02-2026;08-02-2026
Saturday 1844 Jul. 06;06-07-1844
20/06/2020;20-06-2020
Thursday 2008/07/17;17-07-2008
18.11.1902;18-11-1902
Wed. 16 May 2018;16-05-2018
Tuesday, 27 05 1913;27-05-1913
Monday, 1911.02.20;20-02-1911
Tue. 22.12.1868;22-12-1868
10.05.2037;10-05-2037
28 Feb 1974;28-02-1974
Sunday, 1939 01 29;29-01-1939
Fri. 1800 Jan 31;31-01-1800
Fri 1890/04/04;04-04-1890
Saturday 1890/01/11;11-01-1890
1832 Dec. 10;10-12-1832
Friday, 1888 May 25;25-05-1888
1946 November 05;05-11-1946
Mon 1833 Apr. 15;15-04-1833
Fri 15 03 1974;15-03-1974
Tuesday 1875 11 23;23-11-1875
Fri. 12 11 2032;12-11-2032
Mon. 1835/06/08;08-06-1835
Sun 2025/04/06;06-04-2025
Monday 23-01-1933;23-01-1933
Thursday, 12/11/2009;12-11-2009
Friday 20 Jul. 1945;20-07-1945
Saturday, 1811/03/16;16-03-1811
Mon. 09 05 1910;09-05-1910
Wed 1843/04/19;19-04-1843
Monday, 1911.03.13;13-03-1911
Thu 1965-03-18;18-03-1965
Wednesday 1944 Nov 15;15-11-1944
17/07/1893;17-07-1893
Tuesday 31 08 1937;31-08-1937
Thu. 1830.05.06;06-05-1830
Thu 16-10-1879;16-10-1879
Thu 15/04/2032;15-04-2032
1953 05 10;10-05-1953
1947 July 08;08-07-1947
Monday, 1887 May. 30;30-05-1887
04/06/1890;04-06-1890
Wednesday 2040/09/12;12-09-2040
Sunday 07 Sep 1975;07-09-1975
Monday, 1999 07 05;05-07-1999
Sunday, 1947 Feb. 09;09-02-1947
25/04/1916;25-04-1916
Sun 1850-06-02;02-06-1850
Tue. 03 Feb. 1829;03-02-1829
Friday, 1884.09.19;19-09-1884
01 Mar. 1837;01-03-1837
Thursday 1872 Sep 05;05-09-1872
Saturday 1817 January 04;04-01-1817
Tuesday, 03 07 2035;03-07-2035
Tuesday, 17 03 1942;17-03-1942
Saturday, 1800 Oct 25;25-10-1800
Sunday, 1874 Mar 01;01-03-1874
Friday 18 Mar. 1949;18-03-1949
Friday, 1806 06 20;20-06-1806
30 Sep 1923;30-09-1923
Tuesday, 1904 Aug 16;16-08-1904
Sunday, 05-07-2026;05-07-2026
1983-11-25;25-11-1983
1992-06-28;28-06-1992
Fri. 1834/05/09;09-05-1834
Tuesday 2019.04.16;16-04-2019
1817 07 02;02-07-1817
27 Nov 1821;27-11-1821
1909/05/19;19-05-1909
Tue. 2012-07-24;24-07-2012
Tue 1857 March 31;31-03-1857
Wed 30 Jul 1834;30-07-1834
Thursday 2005 Apr 28;28-04-2005
Saturday 1929.06.29;29-06-1929
Tue. 1864 Apr 26;26-04-1864
Thursday, 1816 December 12;12-12-1816
Wed 1859 08 03;03-08-1859
Thu. 1815 December 14;14-12-1815
Sun. 1895-11-17;17-11-1895
1927 04 19;19-04-1927
Mon. 16.03.1801;16-03-1801
Wednesday 2046.01.03;03-01-2046
Fri. 2010/06/11;11-06-2010
2009 December 10;10-12-2009
Mon 2002/08/26;26-08-2002
Thu 14/11/1929;14-11-1929
Thu. 1836/03/31;31-03-1836
Sat. 1816 June 15;15-06-1816
Monday 04/11/1839;04-11-1839
04-05-1905;04-05-1905
Sat. 09 09 1939;09-09-1939
Friday, 24/09/2032;24-09-2032
Fri. 12 09 2003;12-09-2003
29/02/1892;29-02-1892
Mon 03 February 2042;03-02-2042
Friday, 13 02 1818;13-02-1818
Monday 1909.09.06;06-09-1909
Fri 19.03.1993;19-03-1993
Monday, 1940/08/05;05-08-1940
Sunday, 04 June 1882;04-06-1882
Tue. 2002-03-26;26-03-2002
1843/09/24;24-09-1843
Friday 1900 03 09;09-03-1900
Fri. 24-03-1911;24-03-1911
Sat 1829 12 12;12-12-1829
Mon. 06 Jan. 1975;06-01-1975
Friday, 11 04 2031;11-04-2031
Saturday 1824/04/03;03-04-1824
Fri. 1817 01 24;24-01-1817
Sun 1887/10/02;02-10-1887
Wed. 14 May 1986;14-05-1986
Wednesday 1972-05-31;31-05-1972
Thursday, 2004 Jan 15;15-01-2004
Monday 30 12 1867;30-12-1867
1929-07-26;26-07-1929
Sat 02 11 1968;02-11-1968
Fri. 1877 04 06;06-04-1877
Tue 1863 Jul 21;21-07-1863
Tue 12 March 1918;12-03-1918
Saturday, 29 August 1998;29-08-1998
Saturday 1829-08-15;15-08-1829
Monday, 2050 September 12;12-09-2050
Thu. 03 01 1974;03-01-1974
Wed. 1880 12 01;01-12-1880
Thu 25 03 1880;25-03-1880
1862.10.03;03-10-1862
Thursday 14/10/2010;14-10-2010
Monday 1847 Jan. 04;04-01-1847
27 December 1963;27-12-1963
Saturday, 19/05/1928;19-05-1928
Fri 16-05-1952;16-05-1952
Thursday, 19/09/2030;19-09-2030
Tuesday, 1923-05-08;08-05-1923
Fri. 23 December 1898;23-12-1898
Thursday 08-06-1939;08-06-1939
1949 09 15;15-09-1949
Wednesday, 18/09/1833;18-09-1833
06-08-1815;06-08-1815
1956-07-31;31-07-1956
Wed. 27 07 1904;27-07-1904
Mon. 2031.02.24;24-02-2031
Wed. 2011.10.12;12-10-2011
Wednesday, 1828 December 03;03-12-1828
Fri 29/03/2019;29-03-2019
1848 Mar. 11;11-03-1848
Wednesday, 2018 June 27;27-06-2018
Saturday, 1881.11.12;12-11-1881
Wednesday, 01 July 1987;01-07-1987
17 11 1870;17-11-1870
07 December 2049;07-12-2049
Thu 1944-07-27;27-07-1944
Fri. 09 09 1853;09-09-1853
Tuesday, 1868 Jun 30;30-06-1868
Wed 1899/03/01;01-03-1899
Tuesday, 1850 04 30;30-04-1850
Sun. 11 May. 1851;11-05-1851
Tuesday, 1949.10.11;11-10-1949
Saturday 2039 Mar. 12;12-03-2039
Wednesday, 1873 09 17;17-09-1873
Tue. 1933 November 21;21-11-1933
09.01.1856;09-01-1856
Thu 07.06.1877;07-06-1877
1885-10-15;15-10-1885
Tue. 28.09.1954;28-09-1954
16 October 1922;16-10-1922
10 01 1940;10-01-1940
Thu 2033 September 15;15-09-2033
Tuesday 12-01-1830;12-01-1830
Sun. 1906-06-17;17-06-1906
Sun. 11 Jan. 1948;11-01-1948
22 February 2020;22-02-2020
Wednesday 13-08-1975;13-08-1975
Tuesday 20 September 1870;20-09-1870
Friday 29 Aug 1884;29-08-1884
Wednesday 28/08/1929;28-08-1929
Thursday 1911.01.05;05-01-1911
Tue 01 10 1872;01-10-1872
22 08 1945;22-08-1945
Thursday 30 Nov 1809;30-11-1809
Sat. 15 Jun 1839;15-06-1839
Monday, 1948.01.26;26-01-1948
Tuesday 1819 Jun 29;29-06-1819
Tuesday, 24 Jul. 2040;24-07-2040
Friday, 24.03.1978;24-03-1978
Sunday, 1904 March 06;06-03-1904
02 January 1972;02-01-1972
Sat. 1818.04.25;25-04-1818
Friday 18 Oct 1878;18-10-1878
Thu 23.10.1890;23-10-1890
Sunday 19 Jan. 1947;19-01-1947
Sun. 1928 Jan 22;22-01-1928
Monday 1982 February 08;08-02-1982
Thursday 1995 Oct 26;26-10-1995
Thu. 25/11/1982;25-11-1982
Wed 31/01/1934;31-01-1934
Fri. 15 08 2003;15-08-2003
1831 10 11;11-10-1831
Mon 1869 Jul 26;26-07-1869
Tuesday, 25 Jan. 1887;25-01-1887
Mon. 1959 Nov 23;23-11-1959
Tuesday 25.04.1961;25-04-1961
1932 04 14;14-04-1932
Thu. 13 April 2023;13-04-2023
1866 October 01;01-10-1866
Friday, 1850-04-12;12-04-1850
Thursday 1919 Oct. 16;16-10-1919
28 January 1835;28-01-1835
Wed 1898/10/12;12-10-1898
Sat. 29 Jan. 1910;29-01-1910
Sun. 1802.08.08;08-08-1802
Fri 1995 Oct 13;13-10-1995
Monday 2038 Feb 01;01-02-2038
Wednesday 01 January 1873;01-01-1873
Wed 05 January 2022;05-01-2022
Mon. 1865-01-23;23-01-1865
Wed 1874-10-28;28-10-1874
Friday, 23 Jun 1967;23-06-1967
Thursday, 2011 May 05;05-05-2011
1868.12.24;24-12-1868
1894 May 27;27-05-1894
03 Jun. 1910;03-06-1910
14 November 1829;14-11-1829
Friday, 19/12/1800;19-12-1800
Thursday, 1980 12 18;18-12-1980
Sat. 10 01 1885;10-01-1885
Mon 1858 10 18;18-10-1858
Sunday, 1955.01.09;09-01-1955
Saturday 06 January 1912;06-01-1912
27/12/1809;27-12-1809
Mon 2036/09/22;22-09-2036
Sun 1935 05 19;19-05-1935
Wednesday, 1885/04/15;15-04-1885
Wed 1865.12.06;06-12-1865
28 May 1869;28-05-1869
Monday 1963 May 27;27-05-1963
Wed 1954.05.05;05-05-1954
03.07.1815;03-07-1815
Tuesday, 2027 October 26;26-10-2027
1895 Sep. 24;24-09-1895
Friday 22-01-1808;22-01-1808
Saturday 28 Jan. 1837;28-01-1837
Mon. 1980 Nov 03;03-11-1980
Wed 1937-07-14;14-07-1937
1855/05/28;28-05-1855
Wednesday 2011 02 02;02-02-2011
Tue 1904-02-23;23-02-1904
Fri 1973.08.03;03-08-1973
Thursday, 28 01 1841;28-01-1841
1833 12 20;20-12-1833
Tue 1815-05-02;02-05-1815
2018-01-17;17-01-2018
Fri 1973 Sep. 21;21-09-1973
Tuesday 2011-08-02;02-08-2011
Tuesday 2035 Nov. 13;13-11-2035
Sunday 1964.06.21;21-06-1964
Mon 01-11-2010;01-11-2010
Sun. 16/12/1832;16-12-1832
2021 May 16;16-05-2021
Fri. 23-08-1889;23-08-1889
Saturday, 2031 May. 03;03-05-2031
Fri 18 January 1907;18-01-1907
1986 January 03;03-01-1986
09 Jul 2019;09-07-2019
Tuesday, 16.02.2044;16-02-2044
Tuesday, 1951 September 18;18-09-1951
Tue. 28.10.2008;28-10-2008
Friday, 08 Dec. 1848;08-12-1848
09/06/1884;09-06-1884
Thu. 1992 Feb. 13;13-02-1992
Thu 05 Sep 1991;05-09-1991
Wednesday 1994-02-09;09-02-1994
Friday 05 Dec. 1806;05-12-1806
Sun. 11 Apr 1948;11-04-1948
Wed 1847-06-16;16-06-1847
Thu. 1887/03/24;24-03-1887
15/12/2006;15-12-2006
Tuesday, 01 Sep. 1891;01-09-1891
Wed 26 Jun 1811;26-06-1811
11 November 1829;11-11-1829
21 Mar. 1922;21-03-1922
Friday, 21 05 1841;21-05-1841
Sunday 25 Feb 1883;25-02-1883
Thursday, 2000 June 08;08-06-2000
Friday, 25.09.1931;25-09-1931
Friday, 1985 07 12;12-07-1985
Fri. 15 07 1887;15-07-1887
Thu 2001 Feb 22;22-02-2001
Friday, 03.08.1956;03-08-1956
Tuesday 25-11-1941;25-11-1941
Sunday, 11 Dec. 1803;11-12-1803
Thursday, 1992-04-16;16-04-1992
Wednesday 20 Jun 2001;20-06-2001
Wed 06.01.2021;06-01-2021
Thu. 2038.05.27;27-05-2038
Fri. 1939 02 10;10-02-1939
01.05.1862;01-05-1862
Sun 1915-07-04;04-07-1915
Saturday 01-11-1997;01-11-1997
25 May. 1930;25-05-1930
Mon. 12 Mar. 1855;12-03-1855
Wednesday, 2023 Nov 22;22-11-2023
Tue 07 05 1907;07-05-1907
Monday, 1807 July 13;13-07-1807
Monday, 1865.06.19;19-06-1865
Saturday, 28 Dec 1940;28-12-1940
Wednesday, 18.04.1923;18-04-1923
Wednesday, 2034.10.25;25-10-2034
Mon 1906 Nov. 12;12-11-1906
27 Jan 1868;27-01-1868
Thu 1856 02 28;28-02-1856
Wednesday, 1953 Apr 15;15-04-1953
Tuesday, 2050/11/29;29-11-2050
15 Apr 1886;15-04-1886
28 Mar. 1856;28-03-1856
Tue. 14 Jan. 1896;14-01-1896
Thu 16 01 1862;16-01-1862
Thu 1831-05-19;19-05-1831
25 May 1884;25-05-1884
Wed. 23/03/2039;23-03-2039
1915 April 11;11-04-1915
Sunday 01 Jul. 1928;01-07-1928
Monday 1903 March 30;30-03-1903
Friday 23 July 1971;23-07-1971
Mon. 1872 January 29;29-01-1872
Sunday, 1831.01.30;30-01-1831
Tuesday 21-02-1899;21-02-1899
Sun. 01 Feb 2026;01-02-2026
Sunday, 1955 January 23;23-01-1955
Tuesday, 1986 Dec 09;09-12-1986
1881 Jul 28;28-07-1881
Saturday, 05-02-1803;05-02-1803
20 05 2000;20-05-2000
Sat 22 Nov 1800;22-11-1800
06.08.1841;06-08-1841
Mon. 27.12.2021;27-12-2021
Thursday 04 Feb 1813;04-02-1813
15 Jul. 1990;15-07-1990
Thursday 1855 Aug. 16;16-08-1855
Sun 27 March 2005;27-03-2005
Fri. 28 Dec. 1973;28-12-1973
Sun 1820 08 13;13-08-1820
1842/05/12;12-05-1842
Wed 08.11.1933;08-11-1933
03 January 1989;03-01-1989
17 July 1826;17-07-1826
Sun. 28-09-2036;28-09-2036
Tue 1836-02-02;02-02-1836
Tuesday 1981 October 20;20-10-1981
Mon. 1869 08 16;16-08-1869
Monday 1968 Jul 15;15-07-1968
Thursday 01 Apr. 1909;01-04-1909
Sat. 08.04.1978;08-04-1978
Thu 1903-12-31;31-12-1903
Wed. 1823/12/10;10-12-1823
Mon 2016/08/01;01-08-2016
1857 Oct. 30;30-10-1857
Sun 03 08 1986;03-08-1986
Sat. 22 Jan 1859;22-01-1859
Thu. 1869 Aug. 19;19-08-1869
Sunday 24 October 1847;24-10-1847
Monday, 1820.06.26;26-06-1820
Thursday 1871 Aug. 24;24-08-1871
Saturday, 23/10/2032;23-10-2032
Sat. 1885-06-13;13-06-1885
26 March 1852;26-03-1852
Thu 1842 June 30;30-06-1842
Thu 1953.04.30;30-04-1953
Mon. 25-11-1963;25-11-1963
Tuesday 04 November 1958;04-11-1958
Wednesday 2042.01.01;01-01-2042
1928 07 26;26-07-1928
Sat. 1809/02/04;04-02-1809
Tue. 2010 Sep 14;14-09-2010
Wed. 2030 May 01;01-05-2030
Thu 03-12-1903;03-12-1903
Sunday, 1803-01-30;30-01-1803
Friday 1806 Jul. 11;11-07-1806
07 Oct. 2032;07-10-2032
Sat. 04 09 1897;04-09-1897
Wed 02-09-1987;02-09-1987
06 Feb 1884;06-02-1884
Tue 2031 May. 06;06-05-2031
1923/07/12;12-07-1923
Friday, 16/09/1966;16-09-1966
17 Feb 2045;17-02-2045
Wed 1950 August 02;02-08-1950
Thursday 25 September 2031;25-09-2031
Friday, 15 Feb 1907;15-02-1907
Sunday, 07 Jul 2041;07-07-2041
1840.09.30;30-09-1840
Sunday, 2011 February 13;13-02-2011
Sat 1942 02 28;28-02-1942
Sunday 1965/01/17;17-01-1965
Saturday, 1937 May 01;01-05-1937
Tuesday 1880 May 18;18-05-1880
Sun. 1897 Jan. 24;24-01-1897
05 April 1989;05-04-1989
